Title,URL,ID,Difficulty,Paid
Find the Number of Distinct Colors Among the Balls,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls,3160,2,False
Find the Minimum Cost Array Permutation,https://leetcode.com/problems/find-the-minimum-cost-array-permutation,3149,3,False
Count Days Without Meetings,https://leetcode.com/problems/count-days-without-meetings,3169,2,False
Special Array I,https://leetcode.com/problems/special-array-i,3151,1,False
Find the XOR of Numbers Which Appear Twice,https://leetcode.com/problems/find-the-xor-of-numbers-which-appear-twice,3158,1,False
Special Array II,https://leetcode.com/problems/special-array-ii,3152,2,False
Minimum Number of Chairs in a Waiting Room,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room,3168,1,False
Maximum Sum of Subsequence With Non-adjacent Elements,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements,3165,3,False
Find the N-th Value After K Seconds,https://leetcode.com/problems/find-the-n-th-value-after-k-seconds,3179,2,False
Count Pairs That Form a Complete Day I,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-i,3184,1,False
Find Occurrences of an Element in an Array,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array,3159,2,False
Maximum Points Inside the Square,https://leetcode.com/problems/maximum-points-inside-the-square,3143,2,False
Count Pairs That Form a Complete Day II,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-ii,3185,2,False
Sum of Digit Differences of All Pairs,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,3153,2,False
Check if Grid Satisfies Conditions,https://leetcode.com/problems/check-if-grid-satisfies-conditions,3142,1,False
Find Number of Ways to Reach the K-th Stair,https://leetcode.com/problems/find-number-of-ways-to-reach-the-k-th-stair,3154,3,False
Find The First Player to win K Games in a Row,https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row,3175,2,False
Permutation Difference between Two Strings,https://leetcode.com/problems/permutation-difference-between-two-strings,3146,1,False
Find Products of Elements of Big Array,https://leetcode.com/problems/find-products-of-elements-of-big-array,3145,3,False
Count the Number of Special Characters I,https://leetcode.com/problems/count-the-number-of-special-characters-i,3120,1,False
Find All Possible Stable Binary Arrays II,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii,3130,3,False
Find All Possible Stable Binary Arrays I,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-i,3129,2,False
Count the Number of Special Characters II,https://leetcode.com/problems/count-the-number-of-special-characters-ii,3121,2,False
Minimum Number of Operations to Satisfy Conditions,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,3122,2,False
Minimum Substring Partition of Equal Character Frequency,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,3144,2,False
Minimum Cost to Equalize Array,https://leetcode.com/problems/minimum-cost-to-equalize-array,3139,3,False
Find the Integer Added to Array II,https://leetcode.com/problems/find-the-integer-added-to-array-ii,3132,2,False
Make a Square with the Same Color,https://leetcode.com/problems/make-a-square-with-the-same-color,3127,1,False
Find the Integer Added to Array I,https://leetcode.com/problems/find-the-integer-added-to-array-i,3131,1,False
Valid Word,https://leetcode.com/problems/valid-word,3136,1,False
Minimum Length of Anagram Concatenation,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,3138,2,False
Minimum Array End,https://leetcode.com/problems/minimum-array-end,3133,2,False
Maximum Difference Score in a Grid,https://leetcode.com/problems/maximum-difference-score-in-a-grid,3148,2,False
Minimum Rectangles to Cover Points,https://leetcode.com/problems/minimum-rectangles-to-cover-points,3111,2,False
Minimum Time to Visit Disappearing Nodes,https://leetcode.com/problems/minimum-time-to-visit-disappearing-nodes,3112,2,False
Right Triangles,https://leetcode.com/problems/right-triangles,3128,2,False
Minimum Operations to Make Median of Array Equal to K,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k,3107,2,False
Find Edges in Shortest Paths,https://leetcode.com/problems/find-edges-in-shortest-paths,3123,3,False
Minimum Number of Operations to Make Word K-Periodic,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,3137,2,False
Taking Maximum Energy From the Mystic Dungeon,https://leetcode.com/problems/taking-maximum-energy-from-the-mystic-dungeon,3147,2,False
Find the Number of Subarrays Where Boundary Elements Are Maximum,https://leetcode.com/problems/find-the-number-of-subarrays-where-boundary-elements-are-maximum,3113,3,False
Shortest Subarray With OR at Least K I,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i,3095,1,False
Shortest Subarray With OR at Least K II,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii,3097,2,False
Score of a String,https://leetcode.com/problems/score-of-a-string,3110,1,False
Longest Common Suffix Queries,https://leetcode.com/problems/longest-common-suffix-queries,3093,3,False
Kth Smallest Amount With Single Denomination Combination,https://leetcode.com/problems/kth-smallest-amount-with-single-denomination-combination,3116,3,False
Count Alternating Subarrays,https://leetcode.com/problems/count-alternating-subarrays,3101,2,False
Maximum Prime Difference,https://leetcode.com/problems/maximum-prime-difference,3115,2,False
Longest Strictly Increasing or Strictly Decreasing Subarray,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray,3105,1,False
Harshad Number,https://leetcode.com/problems/harshad-number,3099,1,False
Find the Sum of Encrypted Integers,https://leetcode.com/problems/find-the-sum-of-encrypted-integers,3079,1,False
Minimum Sum of Values by Dividing Array,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array,3117,3,False
Most Frequent IDs,https://leetcode.com/problems/most-frequent-ids,3092,2,False
Find the Median of the Uniqueness Array,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array,3134,3,False
Latest Time You Can Obtain After Replacing Characters,https://leetcode.com/problems/latest-time-you-can-obtain-after-replacing-characters,3114,1,False
Minimum Deletions to Make String K-Special,https://leetcode.com/problems/minimum-deletions-to-make-string-k-special,3085,2,False
Shortest Uncommon Substring in an Array,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,3076,2,False
Minimum Levels to Gain More Points,https://leetcode.com/problems/minimum-levels-to-gain-more-points,3096,2,False
Replace Question Marks in String to Minimize Its Value,https://leetcode.com/problems/replace-question-marks-in-string-to-minimize-its-value,3081,2,False
Existence of a Substring in a String and Its Reverse,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,3083,1,False
Maximize Happiness of Selected Children,https://leetcode.com/problems/maximize-happiness-of-selected-children,3075,2,False
Distribute Elements Into Two Arrays II,https://leetcode.com/problems/distribute-elements-into-two-arrays-ii,3072,3,False
Maximum Length Substring With Two Occurrences,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences,3090,1,False
Minimum Cost Walk in Weighted Graph,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,3108,3,False
Distribute Elements Into Two Arrays I,https://leetcode.com/problems/distribute-elements-into-two-arrays-i,3069,1,False
Lexicographically Smallest String After Operations With Constraint,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,3106,2,False
Find the Sum of the Power of All Subsequences,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences,3082,3,False
Minimize Manhattan Distances,https://leetcode.com/problems/minimize-manhattan-distances,3102,3,False
Count Submatrices with Top-Left Element and Sum Less Than k,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k,3070,2,False
Count Substrings Starting and Ending with Given Character,https://leetcode.com/problems/count-substrings-starting-and-ending-with-given-character,3084,2,False
Water Bottles II,https://leetcode.com/problems/water-bottles-ii,3100,2,False
Minimum Operations to Write the Letter Y on a Grid,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,3071,2,False
Apple Redistribution into Boxes,https://leetcode.com/problems/apple-redistribution-into-boxes,3074,1,False
Minimum Operations to Exceed Threshold Value II,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii,3066,2,False
Minimum Operations to Exceed Threshold Value I,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i,3065,1,False
Modify the Matrix,https://leetcode.com/problems/modify-the-matrix,3033,1,False
Find the Length of the Longest Common Prefix,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,3043,2,False
Apply Operations to Make Sum of Array Greater Than or Equal to k,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,3091,2,False
Minimum Moves to Pick K Ones,https://leetcode.com/problems/minimum-moves-to-pick-k-ones,3086,3,False
Count Pairs of Connectable Servers in a Weighted Tree Network,https://leetcode.com/problems/count-pairs-of-connectable-servers-in-a-weighted-tree-network,3067,2,False
Find the Largest Area of Square Inside Two Rectangles,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles,3047,2,False
Split the Array,https://leetcode.com/problems/split-the-array,3046,1,False
Type of Triangle,https://leetcode.com/problems/type-of-triangle,3024,1,False
Maximum Number of Operations With the Same Score I,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-i,3038,1,False
Maximum Number of Operations With the Same Score II,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-ii,3040,2,False
Maximum Palindromes After Operations,https://leetcode.com/problems/maximum-palindromes-after-operations,3035,2,False
Find the Sum of Subsequence Powers,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,3098,3,False
Most Frequent Prime,https://leetcode.com/problems/most-frequent-prime,3044,2,False
Maximum Strength of K Disjoint Subarrays,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays,3077,3,False
Number of Changing Keys,https://leetcode.com/problems/number-of-changing-keys,3019,1,False
Ant on the Boundary,https://leetcode.com/problems/ant-on-the-boundary,3028,1,False
Count the Number of Houses at a Certain Distance II,https://leetcode.com/problems/count-the-number-of-houses-at-a-certain-distance-ii,3017,3,False
Count Prefix and Suffix Pairs I,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i,3042,1,False
Apply Operations to Make String Empty,https://leetcode.com/problems/apply-operations-to-make-string-empty,3039,2,False
Find the Maximum Sum of Node Values,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,3068,3,False
Mark Elements on Array by Performing Queries,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,3080,2,False
Count Prefix and Suffix Pairs II,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,3045,3,False
Find Beautiful Indices in the Given Array II,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,3008,3,False
Find the Maximum Number of Elements in Subset,https://leetcode.com/problems/find-the-maximum-number-of-elements-in-subset,3020,2,False
Maximize Consecutive Elements in an Array After Modification,https://leetcode.com/problems/maximize-consecutive-elements-in-an-array-after-modification,3041,3,False
Minimum Time to Revert Word to Initial State I,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i,3029,2,False
Minimum Time to Revert Word to Initial State II,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii,3031,3,False
Earliest Second to Mark Indices I,https://leetcode.com/problems/earliest-second-to-mark-indices-i,3048,2,False
Find if Array Can Be Sorted,https://leetcode.com/problems/find-if-array-can-be-sorted,3011,2,False
Number of Subarrays That Match a Pattern II,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii,3036,3,False
Earliest Second to Mark Indices II,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,3049,3,False
Alice and Bob Playing Flower Game,https://leetcode.com/problems/alice-and-bob-playing-flower-game,3021,2,False
Find the Number of Ways to Place People I,https://leetcode.com/problems/find-the-number-of-ways-to-place-people-i,3025,2,False
Find the Number of Ways to Place People II,https://leetcode.com/problems/find-the-number-of-ways-to-place-people-ii,3027,3,False
Minimum Number of Pushes to Type Word II,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii,3016,2,False
Minimum Number of Pushes to Type Word I,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-i,3014,1,False
Find the Grid of Region Average,https://leetcode.com/problems/find-the-grid-of-region-average,3030,2,False
Count the Number of Houses at a Certain Distance I,https://leetcode.com/problems/count-the-number-of-houses-at-a-certain-distance-i,3015,2,False
Minimum Moves to Capture The Queen,https://leetcode.com/problems/minimum-moves-to-capture-the-queen,3001,2,False
Number of Subarrays That Match a Pattern I,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,3034,2,False
Find Longest Special Substring That Occurs Thrice I,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-i,2981,2,False
Find Longest Special Substring That Occurs Thrice II,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,2982,2,False
Maximum Good Subarray Sum,https://leetcode.com/problems/maximum-good-subarray-sum,3026,2,False
Maximum Points After Enemy Battles,https://leetcode.com/problems/maximum-points-after-enemy-battles,3207,2,False
Divide an Array Into Subarrays With Minimum Cost I,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,3010,1,False
Find Polygon With the Largest Perimeter,https://leetcode.com/problems/find-polygon-with-the-largest-perimeter,2971,2,False
Minimize OR of Remaining Elements Using Operations,https://leetcode.com/problems/minimize-or-of-remaining-elements-using-operations,3022,3,False
Divide an Array Into Subarrays With Minimum Cost II,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,3013,3,False
Count the Number of Incremovable Subarrays I,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-i,2970,1,False
Maximum Area of Longest Diagonal Rectangle,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,3000,1,False
Maximum Square Area by Removing Fences From a Field,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,2975,2,False
Minimum Number of Operations to Make Array XOR Equal to K,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,2997,2,False
Count the Number of Incremovable Subarrays II,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,2972,3,False
Check if Bitwise OR Has Trailing Zeros,https://leetcode.com/problems/check-if-bitwise-or-has-trailing-zeros,2980,1,False
Find Beautiful Indices in the Given Array I,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i,3006,2,False
Minimize Length of Array Using Operations,https://leetcode.com/problems/minimize-length-of-array-using-operations,3012,2,False
Count the Number of Powerful Integers,https://leetcode.com/problems/count-the-number-of-powerful-integers,2999,3,False
Count Elements With Maximum Frequency,https://leetcode.com/problems/count-elements-with-maximum-frequency,3005,1,False
Divide Array Into Arrays With Max Difference,https://leetcode.com/problems/divide-array-into-arrays-with-max-difference,2966,2,False
Maximum Number That Sum of the Prices Is Less Than or Equal to K,https://leetcode.com/problems/maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,3007,2,False
Minimum Number of Operations to Make X and Y Equal,https://leetcode.com/problems/minimum-number-of-operations-to-make-x-and-y-equal,2998,2,False
Minimum Cost to Convert String II,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,2977,3,False
Smallest Missing Integer Greater Than Sequential Prefix Sum,https://leetcode.com/problems/smallest-missing-integer-greater-than-sequential-prefix-sum,2996,1,False
Minimum Cost to Convert String I,https://leetcode.com/problems/minimum-cost-to-convert-string-i,2976,2,False
Double Modular Exponentiation,https://leetcode.com/problems/double-modular-exponentiation,2961,2,False
Maximize the Number of Partitions After Operations,https://leetcode.com/problems/maximize-the-number-of-partitions-after-operations,3003,3,False
Minimum Number of Coins to be Added,https://leetcode.com/problems/minimum-number-of-coins-to-be-added,2952,2,False
Remove Adjacent Almost-Equal Characters,https://leetcode.com/problems/remove-adjacent-almost-equal-characters,2957,2,False
Minimum Cost to Make Array Equalindromic,https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic,2967,2,False
Maximum Size of a Set After Removals,https://leetcode.com/problems/maximum-size-of-a-set-after-removals,3002,2,False
Find Missing and Repeated Values,https://leetcode.com/problems/find-missing-and-repeated-values,2965,1,False
Minimum Number Game,https://leetcode.com/problems/minimum-number-game,2974,1,False
Length of Longest Subarray With at Most K Frequency,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,2958,2,False
Count the Number of Infection Sequences,https://leetcode.com/problems/count-the-number-of-infection-sequences,2954,3,False
Count Complete Substrings,https://leetcode.com/problems/count-complete-substrings,2953,3,False
Find the Peaks,https://leetcode.com/problems/find-the-peaks,2951,1,False
Count Tested Devices After Test Operations,https://leetcode.com/problems/count-tested-devices-after-test-operations,2960,1,False
Make Lexicographically Smallest Array by Swapping Elements,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,2948,2,False
Find Number of Coins to Place in Tree Nodes,https://leetcode.com/problems/find-number-of-coins-to-place-in-tree-nodes,2973,3,False
Number of Possible Sets of Closing Branches,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,2959,3,False
Matrix Similarity After Cyclic Shifts,https://leetcode.com/problems/matrix-similarity-after-cyclic-shifts,2946,1,False
Maximize Area of Square Hole in Grid,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,2943,2,False
Count Subarrays Where Max Element Appears at Least K Times,https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times,2962,2,False
Count the Number of Good Partitions,https://leetcode.com/problems/count-the-number-of-good-partitions,2963,3,False
Find Maximum Non-decreasing Array Length,https://leetcode.com/problems/find-maximum-non-decreasing-array-length,2945,3,False
Count Beautiful Substrings I,https://leetcode.com/problems/count-beautiful-substrings-i,2947,2,False
Minimum Number of Coins for Fruits,https://leetcode.com/problems/minimum-number-of-coins-for-fruits,2944,2,False
Count Beautiful Substrings II,https://leetcode.com/problems/count-beautiful-substrings-ii,2949,3,False
Make Three Strings Equal,https://leetcode.com/problems/make-three-strings-equal,2937,1,False
Find Common Elements Between Two Arrays,https://leetcode.com/problems/find-common-elements-between-two-arrays,2956,1,False
Palindrome Rearrangement Queries,https://leetcode.com/problems/palindrome-rearrangement-queries,2983,3,False
High-Access Employees,https://leetcode.com/problems/high-access-employees,2933,2,False
Distribute Candies Among Children II,https://leetcode.com/problems/distribute-candies-among-children-ii,2929,2,False
Number of Strings Which Can Be Rearranged to Contain Substring,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring,2930,2,False
Distribute Candies Among Children I,https://leetcode.com/problems/distribute-candies-among-children-i,2928,1,False
Maximum Strong Pair XOR II,https://leetcode.com/problems/maximum-strong-pair-xor-ii,2935,3,False
Apply Operations to Maximize Frequency Score,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,2968,3,False
Separate Black and White Balls,https://leetcode.com/problems/separate-black-and-white-balls,2938,2,False
Find Words Containing Character,https://leetcode.com/problems/find-words-containing-character,2942,1,False
Maximum Strong Pair XOR I,https://leetcode.com/problems/maximum-strong-pair-xor-i,2932,1,False
Maximum Xor Product,https://leetcode.com/problems/maximum-xor-product,2939,2,False
Maximum Score After Applying Operations on a Tree,https://leetcode.com/problems/maximum-score-after-applying-operations-on-a-tree,2925,2,False
Minimum Operations to Maximize Last Elements in Arrays,https://leetcode.com/problems/minimum-operations-to-maximize-last-elements-in-arrays,2934,2,False
Find Champion II,https://leetcode.com/problems/find-champion-ii,2924,2,False
Find Champion I,https://leetcode.com/problems/find-champion-i,2923,1,False
Minimum Sum of Mountain Triplets II,https://leetcode.com/problems/minimum-sum-of-mountain-triplets-ii,2909,2,False
Maximum Balanced Subsequence Sum,https://leetcode.com/problems/maximum-balanced-subsequence-sum,2926,3,False
Find the K-or of an Array,https://leetcode.com/problems/find-the-k-or-of-an-array,2917,1,False
Find Building Where Alice and Bob Can Meet,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,2940,3,False
Maximum Points After Collecting Coins From All Nodes,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes,2920,3,False
Minimum Increment Operations to Make Array Beautiful,https://leetcode.com/problems/minimum-increment-operations-to-make-array-beautiful,2919,2,False
Minimum Sum of Mountain Triplets I,https://leetcode.com/problems/minimum-sum-of-mountain-triplets-i,2908,1,False
Minimum Number of Changes to Make Binary String Beautiful,https://leetcode.com/problems/minimum-number-of-changes-to-make-binary-string-beautiful,2914,2,False
Divisible and Non-divisible Sums Difference,https://leetcode.com/problems/divisible-and-non-divisible-sums-difference,2894,1,False
Minimum Equal Sum of Two Arrays After Replacing Zeros,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,2918,2,False
Find Indices With Index and Value Difference II,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii,2905,2,False
